Абдыкеримов Шаршенбек Шайлообекович,нет номера,"Өмүрбаяны
 1970-жылы 19-майда Нарын облусунун  Ат-Башы райоундагы Кара-Суу айылында кызматкердин үй-бүлөсүндө туулган
1993-жылы Кыргыз Мамлекеттик университетинин экономика факультетин аяктаган
 Үй-бүлөлүү, 5 баланын атасы.
Эмгек жолу
• 1993-жыл — ""АусБлат"" казак-немис биргелешкен ишканасында эмгектенген
•  1994-жыл Арак заводун курууну жетектеген
• 1995-жыл  -  Казакстан Республикасынын аймагында жайгашкан  «Геом» жоопкерчилиги чектелген коомунун маркетинг жана сатуу бөлүмүнүн жетекчиси
• 2001-2002-жылдары  —  ""А-вест""компаниясынын  (Philip Morris компаниясынын  расмий дистрибьютору) маркетинг жана сатуу бөлүмүн жетектеген
• 2003-2005-жылдары  -  ""Арвин"" ЖЧКсынын өндүрүмдөрүн сатуу боюнча ишкананын жетекчиси
 • 2005-2008-жылдары —  ""ОККО"" ААКы башкармалыгынын төрагасы
• 2008-2010-жылдары — Кыргыз агро өнөр-жай корпорациясынын Башкы директору
• 2011-жылдын июнунда «Республика» партиясынын тизмеси менен Жогорку Кеӊештин V чакырылышына депутат болуп шайланган.
• 2011-жылдын ноябрында КР Күрөш Федерациясынын Президенти болуп шайланган
• 2015-жылдын майында Кыргыз Республикасынын Улуттук Олимпияда Комитетинин  Президентине шайланган
• «Аю Холдинг» ири көп профилдүү компаниянын негиздөөчүсү.
 
Коомдук иштери
• 2013-жылдан баштап  «Билимкана» мектебинин Камкорчулук кеӊешинин мүчөсү
• 2013-жылы «Кыргызстан» Саясий партиясын негиздеген.
Сыйлыктары
• 2015-жылы КР КМШнын уюшулганынын 20 жылдык маарекелик медалы менен сыйланган .
• Мамлекеттик кызматтын 3-класстагы мамлекеттик кеӊешчиси."
Абдыкеримов Шаршенбек Шайлообекович,нет номера,"Өмүрбаяны
 1970-жылы 19-майда Нарын облусунун  Ат-Башы райоундагы Кара-Суу айылында кызматкердин үй-бүлөсүндө туулган
1993-жылы Кыргыз Мамлекеттик университетинин экономика факультетин аяктаган
 Үй-бүлөлүү, 5 баланын атасы.
Эмгек жолу
• 1993-жыл — ""АусБлат"" казак-немис биргелешкен ишканасында эмгектенген
•  1994-жыл Арак заводун курууну жетектеген
• 1995-жыл  -  Казакстан Республикасынын аймагында жайгашкан  «Геом» жоопкерчилиги чектелген коомунун маркетинг жана сатуу бөлүмүнүн жетекчиси
• 2001-2002-жылдары  —  ""А-вест""компаниясынын  (Philip Morris компаниясынын  расмий дистрибьютору) маркетинг жана сатуу бөлүмүн жетектеген
• 2003-2005-жылдары  -  ""Арвин"" ЖЧКсынын өндүрүмдөрүн сатуу боюнча ишкананын жетекчиси
 • 2005-2008-жылдары —  ""ОККО"" ААКы башкармалыгынын төрагасы
• 2008-2010-жылдары — Кыргыз агро өнөр-жай корпорациясынын Башкы директору
• 2011-жылдын июнунда «Республика» партиясынын тизмеси менен Жогорку Кеӊештин V чакырылышына депутат болуп шайланган.
• 2011-жылдын ноябрында КР Күрөш Федерациясынын Президенти болуп шайланган
• 2015-жылдын майында Кыргыз Республикасынын Улуттук Олимпияда Комитетинин  Президентине шайланган
• «Аю Холдинг» ири көп профилдүү компаниянын негиздөөчүсү.
 
Коомдук иштери
• 2013-жылдан баштап  «Билимкана» мектебинин Камкорчулук кеӊешинин мүчөсү
• 2013-жылы «Кыргызстан» Саясий партиясын негиздеген.
Сыйлыктары
• 2015-жылы КР КМШнын уюшулганынын 20 жылдык маарекелик медалы менен сыйланган .
• Мамлекеттик кызматтын 3-класстагы мамлекеттик кеӊешчиси."
,нет номера,Нет даныых
Абдылдаев Мыктыбек Юсупович,нет номера,"Өмүрбаяны
 1953-жылы 17-августа Кыргыз Республикасынын Чүй облусунун Аламүдүн районундагы Кара-Жыгач   айылында тѳрѳлгѳн.
Жогорку билимдүү. 1976-жылы Кыргыз мамлекеттик университетинин филология факультетин,    1988-жылы Москва шаарындагы СССРдин Ички иштер министрлигинин Академиясын бүтүргөн;
 
Эмгек жолун 1970-жылы Фрунзе шаарындагы Ленин атындагы заводдун токарлыгынан баштаган;
1971-1976-жылдары Кыргыз мамлекеттик университетинин студенти;
1976–1978-жылдары – Фрунзедеги Советтик соода техникумунун комсомол
комитетинин катчысы;
1978-1982-жылдары Кыргызстан ЛКЖС БКнин  уюштуруу бѳлүмүнүн инструктору, бѳлүмдүн жетекчисинин орун басары;
1982–1983-жылдары – Кыргызстан комсомолунун Ысык-Көл облустук комитетинин катчысы;
1983-1986-жылдары – Ысык-Көл облустук аткаруу комитетинин Ички  иштер башкармасынын Саясий бөлүмүнүн башчысы;
1986-1988-жылдары  Москва шаарында СССРдин Ички иштер министрлигинин Академиясынын  күндүзгү бөлүмүндө окуган;
1989-1990 - жылдары Ысык-Көл облустук Ички иштер башкармасынын башчысынын орун басары;
1990-жылы Кыргыз  Республикасынын  Жогорку Советинин депутаттыгына шайланып, парламенттин туруктуу комиссиясынын төрагасынын орун басары болгон;
1991-жылдын ноябрь айынан тартып 1994-жылдын ноябрь айына чейин – Ысык-Көл облусунун Ички иштер башкармасынын башчысы;
1994-жылдын ноябрынан 1997-жылдын мартына чейин Кыргыз Республикасынын Ички иштер министринин орун басары;
1997-жылдын март айынан  2001-жылдын январь айына чейин – Кыргыз Республикасынын Ички иштер министринин  биринчи орун басары болуп иштеген;
2001-жылдын февралында Кыргыз Республикасынын Коопсуздук кеңешинин катчысынын орун басары жана Кыргыз Республикасынын Президентине караштуу Эл аралык стратегиялык изилдөөлөр институтунун директору болгон;
2002-жылдын февраль айында Кыргыз Республикасынын Президентинин Администрациясынын Коргоо жана коопсуздук иштери боюнча бөлүмүнүн Башчысына дайындалган;
2002–2005-жылдары – Кыргыз Республикасынын Башкы прокурору болуп иштеген.
2005-жылдын 25 мартында Кыргыз Республикасынын Ички иштер министринин милдетин аткаруучу болуп дайындалган;
2006-2007-жылдары – Кыргыз Республикасынын Президентинин Администрациясынын жетекчиси;
2010-2015-жылдары Кыргыз Республикасынын Жогорку Кеңешинин V чакырылыштагы  депутаты;
2010-2011-жылдары   Кыргыз Республикасынын Жогорку Кеңешинин Торагасынын орун басары, 2012-жылы Жогорку Кеңештин Мыйзамдуулук, укук тартиби жана кылмыштуулук менен күрѳшүү боюнча комитетинин тѳрагасы;
2012-2014-жылдары Жогорку Кеңештин «Ата-Журт» парламенттик фракциясынын лидери, ошол эле мезгилде парламенттеги азчылык коалициясынын лидери;
2015-жылы Кыргыз Республикасынын Жогорку Кеңешинин VI чакырылышынын  депутаты.
 
Кыргыз Республикасынын эмгек сиңирген юристи,   юридика илимдеринин кандидаты;
Мамлекеттик кызматтын I класстагы мамлекеттик кенешчиси, Юстициянын II класстагы мамлекеттик кенешчиси,    Милициянын генерал-лейтенанты;
Кыргыз Республикасынын  I  даражадагы «Күжүрмѳн кызмат ѳтѳгѳндүгү үчүн» медалы;
КМШ Парламенттер аралык Ассамблеясынын «Содружество» ордени;
Кыргыз Республикасынын  III даражадагы «Манас» ордени менен сыйланган.
 
Үй-бүлөлүү, эки баланын атасы."
Абдылдаев Мыктыбек Юсупович,нет номера,"Өмүрбаяны
 1953-жылы 17-августа Кыргыз Республикасынын Чүй облусунун Аламүдүн районундагы Кара-Жыгач   айылында тѳрѳлгѳн.
Жогорку билимдүү. 1976-жылы Кыргыз мамлекеттик университетинин филология факультетин,    1988-жылы Москва шаарындагы СССРдин Ички иштер министрлигинин Академиясын бүтүргөн;
 
Эмгек жолун 1970-жылы Фрунзе шаарындагы Ленин атындагы заводдун токарлыгынан баштаган;
1971-1976-жылдары Кыргыз мамлекеттик университетинин студенти;
1976–1978-жылдары – Фрунзедеги Советтик соода техникумунун комсомол
комитетинин катчысы;
1978-1982-жылдары Кыргызстан ЛКЖС БКнин  уюштуруу бѳлүмүнүн инструктору, бѳлүмдүн жетекчисинин орун басары;
1982–1983-жылдары – Кыргызстан комсомолунун Ысык-Көл облустук комитетинин катчысы;
1983-1986-жылдары – Ысык-Көл облустук аткаруу комитетинин Ички  иштер башкармасынын Саясий бөлүмүнүн башчысы;
1986-1988-жылдары  Москва шаарында СССРдин Ички иштер министрлигинин Академиясынын  күндүзгү бөлүмүндө окуган;
1989-1990 - жылдары Ысык-Көл облустук Ички иштер башкармасынын башчысынын орун басары;
1990-жылы Кыргыз  Республикасынын  Жогорку Советинин депутаттыгына шайланып, парламенттин туруктуу комиссиясынын төрагасынын орун басары болгон;
1991-жылдын ноябрь айынан тартып 1994-жылдын ноябрь айына чейин – Ысык-Көл облусунун Ички иштер башкармасынын башчысы;
1994-жылдын ноябрынан 1997-жылдын мартына чейин Кыргыз Республикасынын Ички иштер министринин орун басары;
1997-жылдын март айынан  2001-жылдын январь айына чейин – Кыргыз Республикасынын Ички иштер министринин  биринчи орун басары болуп иштеген;
2001-жылдын февралында Кыргыз Республикасынын Коопсуздук кеңешинин катчысынын орун басары жана Кыргыз Республикасынын Президентине караштуу Эл аралык стратегиялык изилдөөлөр институтунун директору болгон;
2002-жылдын февраль айында Кыргыз Республикасынын Президентинин Администрациясынын Коргоо жана коопсуздук иштери боюнча бөлүмүнүн Башчысына дайындалган;
2002–2005-жылдары – Кыргыз Республикасынын Башкы прокурору болуп иштеген.
2005-жылдын 25 мартында Кыргыз Республикасынын Ички иштер министринин милдетин аткаруучу болуп дайындалган;
2006-2007-жылдары – Кыргыз Республикасынын Президентинин Администрациясынын жетекчиси;
2010-2015-жылдары Кыргыз Республикасынын Жогорку Кеңешинин V чакырылыштагы  депутаты;
2010-2011-жылдары   Кыргыз Республикасынын Жогорку Кеңешинин Торагасынын орун басары, 2012-жылы Жогорку Кеңештин Мыйзамдуулук, укук тартиби жана кылмыштуулук менен күрѳшүү боюнча комитетинин тѳрагасы;
2012-2014-жылдары Жогорку Кеңештин «Ата-Журт» парламенттик фракциясынын лидери, ошол эле мезгилде парламенттеги азчылык коалициясынын лидери;
2015-жылы Кыргыз Республикасынын Жогорку Кеңешинин VI чакырылышынын  депутаты.
 
Кыргыз Республикасынын эмгек сиңирген юристи,   юридика илимдеринин кандидаты;
Мамлекеттик кызматтын I класстагы мамлекеттик кенешчиси, Юстициянын II класстагы мамлекеттик кенешчиси,    Милициянын генерал-лейтенанты;
Кыргыз Республикасынын  I  даражадагы «Күжүрмѳн кызмат ѳтѳгѳндүгү үчүн» медалы;
КМШ Парламенттер аралык Ассамблеясынын «Содружество» ордени;
Кыргыз Республикасынын  III даражадагы «Манас» ордени менен сыйланган.
 
Үй-бүлөлүү, эки баланын атасы."
,нет номера,Нет даныых
Абжалиев Алиярбек Токобекович,нет номера,"Өмүрбаяны
 1967-жылдын 5 ноябрда Ош шаарынын «Жапалак» айыл аймагында туулган.
1991-жылы Кыргыз мамлекеттик университетинин экономика жана материалдык жабдууну үнөмдөө жана пландаштыруу адистиги боюнча аяктаган.
1996-жылы Кыргыз мамлекеттик университетинин юриспруденция адистиги боюнча аяктаган.
2005-2007 жылдары Кыргыз Республикасынын Тышкы иштер министрлигинин дипломатиялык академиясынын эл аралык мамилелер адистиги боюнча толук курсту бүтүрдү.
Эмгек жолун 1992-жылы Ош областынын «Кенеш» совхозунун бухгалтери болуп баштаган. 
1992-1993-жылдары Ош шаарынын «Арча» атындагы соода тармагынын экономисти.
1993-2000-жылдары Ош областынын бириккен бажысынын «Иркештам» постунда башкы инспектору, начальниктин орун басары, начальниги.
2000-2004-жылдары Баткен областынын бажысынын начальнигинин орун басары, начальниги;
2004-2005-жылдары «Манас» аэропорт бажысынын начальниги;
2005-2007-жылдары Кыргыз Республикасынын Жогорку Кенешинин депутаты;
2008-2012-жылдары Кыргыз Республикасынын өкмөтүнө караштуу монополияга каршы жөнгө салуу мамлекеттик агенттигинин статс-катчысы.
2015-жылдан бери Кыргыз Республикасынын Жогорку Кенешинин VI –созывынын депутаты.
4 баланын атасы."
Абжалиев Алиярбек Токобекович,нет номера,"Өмүрбаяны
 1967-жылдын 5 ноябрда Ош шаарынын «Жапалак» айыл аймагында туулган.
1991-жылы Кыргыз мамлекеттик университетинин экономика жана материалдык жабдууну үнөмдөө жана пландаштыруу адистиги боюнча аяктаган.
1996-жылы Кыргыз мамлекеттик университетинин юриспруденция адистиги боюнча аяктаган.
2005-2007 жылдары Кыргыз Республикасынын Тышкы иштер министрлигинин дипломатиялык академиясынын эл аралык мамилелер адистиги боюнча толук курсту бүтүрдү.
Эмгек жолун 1992-жылы Ош областынын «Кенеш» совхозунун бухгалтери болуп баштаган. 
1992-1993-жылдары Ош шаарынын «Арча» атындагы соода тармагынын экономисти.
1993-2000-жылдары Ош областынын бириккен бажысынын «Иркештам» постунда башкы инспектору, начальниктин орун басары, начальниги.
2000-2004-жылдары Баткен областынын бажысынын начальнигинин орун басары, начальниги;
2004-2005-жылдары «Манас» аэропорт бажысынын начальниги;
2005-2007-жылдары Кыргыз Республикасынын Жогорку Кенешинин депутаты;
2008-2012-жылдары Кыргыз Республикасынын өкмөтүнө караштуу монополияга каршы жөнгө салуу мамлекеттик агенттигинин статс-катчысы.
2015-жылдан бери Кыргыз Республикасынын Жогорку Кенешинин VI –созывынын депутаты.
4 баланын атасы."
,нет номера,Нет даныых
Айдаров Нургазы Абдыраевич,нет номера,"Өмүрбаяны
 1966-жылдын 16-январында Ош облусунун Алай районундагы Гүлчө айылында туулган. Жогорку билимдүү.
1986-жылы Кыргыз Мамлекеттик университетин аяктаган.
Эмгек жолун 1986-жылы Ош комбинатында элге керектөөчү товарлар өндүрүшү боюнча нормалоочу болуп иштөө менен баштаган.
1988-1989-жылдары «Индпошив одежды» фабрикасында комсомол комитетинин катчысы.
1989-жылы Кыргызстан ЛКЖСнын Ош шааркоомунун  жаштардын социалдык-экономикалык  проблемалары бөлүмүнүн башчысы.
1989-1991-жылдары Кыргызстан ЛКЖСнын Кара-Суу РКсынын биринчи катчысы.
1991-1992-жыдары «Ош-Памир» биржалык соода үйүнүн маркетинг жана бааларды коюу боюнча директорунун орун басары.
1992-жылы «Рембыттехника» заводунун директорунун орун басары болуп эмгек кылган.
1992-1997-жылдары «Каз-Кыр» СПсынын башкы директору.
1997-2003-жылдары «Экспорт-Астык» компаниясынын түштүк регион боюнча директор болуп иштеген.
2003-2005-жылдары «Си-БУ» ЖЧКсынын вице-президенти.
2005-2007-жылдары Ага Хан Фондунун Региондук өнүгүү жана прогресс боюнча программасынын региондук менеджери болуп иштеген.
2000-2005-жылдары Кыргыз Республикасынын Жогорку Кеңешинин II чакырылышынын Эл өкүлдөрү палатасында депутат болгон.
2007-жылы Жогорку Кеңештин IV чакырылышына депутат болгон.
2010-жылдын октябрынан Кыргыз Республикасынын Жогорку Кеңешинин V чакырылышына «Ата-Журт» идеалисттик демократиялык саясий партиясынан тизме боюнча депутат болгон.
2020-жылдын май айынан тартып, бүгүнкү күнгө чейин Кыргыз Республикасынын Жогорку Кеңешинин VI чакырылыштагы депутаты.
Кыргыз Республикасынын Мамлекеттик кызматынын 2-класстагы Мамлекеттик кеңешчиси.
Үй-бүлѳлү, үч баланын атасы."
